MP RP,IFPA RP,IPR,Name,Team,Role,IFPA ID,IFPA Rank,MP LB,MP RD,MPR
3,1,3,Jay Waymire,DIH,P,,,1358,62,1482
2,3,3,Jeff Anderson WA,,,9226,1422,1336,80,1496
5,3,5,Jeff Debock,CRA,P,14840,1092,1554,38,1630
2,2,2,Jeff Dillaman,CHS,P,55787,4985,1328,69,1466
5,5,5,Jeff Gagnon,,,711,203,1532,54,1640
2,2,2,Jeff Rogers,,,13383,3417,1284,112,1508
3,3,3,Jeff Sawyer,,,27226,1944,1416,46,1509
1,1,1,Jeremiah Ratledge,KNR,P,52943,23617,1242,102,1447
3,2,3,Jeremy Edwards,IBL,P,14503,2596,1434,51,1535
1,1,1,Jeremy Jones,,,39598,20967,1148,124,1397
1,1,1,Jesse Chappelle,,,19323,,1250,125,1500
5,5,5,Jesse Labbe,,,49364,362,1538,30,1598
2,1,2,Jesse Mercury,,,41320,5834,1346,88,1522
5,3,5,Jesse Mullene,CHS,A,38463,1171,1509,45,1599
2,1,2,Jesse Rinehart,,,,,1303,89,1481
3,1,3,Jessica Dengler,NLT,P,41764,11350,1356,48,1453
5,3,5,Jodine Hatfield,,,9235,1881,1528,55,1639
3,1,3,Joe Ricci,RMS,P,56594,20667,1355,66,1486
4,2,4,John Garnett,SWL,P,32819,2520,1448,36,1520
3,3,3,John Lim,,,1665,2213,1354,66,1486
5,3,5,John McAllister,SJK,P,16788,1441,1581,54,1690
5,5,5,John Robinson WA,CRA,P,21384,247,1557,28,1614
1,1,1,Johnny Hill,,,58686,,1250,125,1500
5,4,5,Jon Salzman,IBL,P,26374,933,1573,45,1663
3,2,3,Jon Shaiman,KNR,P,50869,4045,1441,61,1563
4,3,4,Jonathan Hawthorne,DSV,P,24519,1081,1447,38,1524
5,5,5,Jordan Semrow,,,28813,254,1563,33,1629
3,2,3,Jorge Romero,CDC,P,2094,3843,1377,56,1490
1,1,1,Josh Anderson,,,49156,27619,1214,81,1377
1,1,1,Josh Dupraw,,,,,1108,101,1310
4,3,4,Josh Hornbaker,PBR,P,35492,1592,1474,43,1561
1,1,1,Josh Schaffner,RMS,P,,,,,
1,1,1,Josh Swaney,RMS,P,,,,,
4,2,4,Joshua Barnes,,,27230,2633,1449,40,1530
6,5,6,Joshua Bartlett,,,25521,222,1658,41,1739
1,1,1,Joshua DeGarmo,LLK,P,41036,16213,1218,58,1334
5,3,5,Joshua Francis,CRA,P,30041,2090,1558,39,1636
1,1,1,Joy Nash,,,,,1157,109,1375
4,5,5,Julie Gray,,,1380,340,1461,36,1534
3,1,3,Justin Blau,JMF,P,18884,7220,1387,56,1499
4,3,4,Justin Hugeback,,,21896,1414,1490,64,1618
4,3,4,Justina Russo,,,44242,1688,1497,34,1566
3,1,3,Karla Rivers,,,42222,9336,1388,61,1509
4,3,4,Katie Eichenberger,SWL,P,31811,1656,1457,34,1526
3,3,3,Katie Janis,,,25563,1644,1422,57,1536
2,3,3,Kay Kay,CPO,A,37557,2458,1312,55,1421
4,4,4,Kayla Greet,FRZ,P,16787,997,1464,44,1552
