Player Name,IFPA,MPID
Jared Kramer,5353,33543
Jared Michelman,,
Jared Schmidt,49067,5689
Jaron Sheffield,,
Jarrett Gaddy,6143,1513
Jarrod Job,49094,2179
Jasmijn de Jong,1787,518
Jason Andersen,52550,8124
Jason Bliss,87907,17192
Jason Boekeloo,20141,24557
Jason Borhauer,37639,
Jason Burton,43004,7428
Jason Galginaitis,72848,13872
Jason Hatch,614,9612
Jason Heitt,33168,1523
Jason Holm,,
Jason Lakkeri,,
Jason Lambert WA,,
Jason Lombard,,19954
Jason McLean,33444,14545
Jason Price,52766,11812
Jason Roselander,84147,18907
Jason Trojan,9595,
Jason Uritescu,91223,22844
Jason Yen,,
Jay Hain,,
Jay Marks,64701,9589
Jay Ostby,104150,28849
Jay Salinas,73208,
Jay Sowell,52600,
Jay Sweeney,48097,3585
Jay Waymire,,
JD Hill,91522,
Jeff Adamo,116885,
Jeff Anderson WA,9226,
Jeff Butterfield,85189,
Jeff Debock,14840,7377
Jeff Dewitt,87456,19616
Jeff Dicker,73745,15238
Jeff Dillaman,55787,4795
Jeff Gagnon,711,1098
Jeff Gebhardt,90595,22127
Jeff Hart,24107,764
Jeff Lee OR,14588,633
Jeff Rogers,13383,
Jeff Sanders WA,,
Jeff Sawyer,27226,9802
Jeff Warren WA,84448,
Jeff Welling,86144,26166
Jeff Williams WA,,
Jeffrey McIlvain,,
Jenn Delaney,,
Jenn Urrabazo,,
Jennell Baldwin,95726,
Jenner Huber,77197,
Jennifer Bremerton,96635,28485
Jenny Pickens,87457,20262
Jenny Vidovic,69191,11196
Jered Danielson,91106,22662
Jeremiah Quinn,,
Jeremiah Ratledge,52943,8557
Jeremy Collison,96684,25516
Jeremy Edwards,14503,514
Jeremy Jones,39598,
Jeremy Liteky,32145,
Jerry Duncan,136407,42827
Jerry Rippy,102969,
Jesper Jenner,,
Jess Masnica,,
Jesse Bartolotta,55074,
Jesse Chappelle,19323,
Jesse Fallahi,92487,
Jesse Labbe,49364,3178
Jesse McCoy,88977,
Jesse Mercury,41320,2472
Jesse Mullene,38463,896
Jesse Rinehart,,
Jessica Barron,80559,15575
Jessica Brooke,,
Jessica Dengler,41764,9780
Jessica Hunt,83180,18321
Jessica Rakonza,,
Jessica Savieo,124023,40325
Jessica Yelley,35090,
Jette Chhoun,102911,28733
Jim Edwards,,
Jim Henderson,,
Jim Sivisay,95732,26642
Jim Suplizio,41608,
Jimmie Eiseman,94655,
Jimmy LaRue,120391,33299
Jo DiCarlo,53793,
Jo Fenstermaker,,
Jo Gagliardi,115437,37180
Joanne Leadbetter,85103,
Jocie Hamilton,80024,
Jodine Hatfield,9235,6814
Joe Callaghan,45309,12956
Joe Foley,,
Joe Ricci,56594,
Joe Tortorice,,
Joel Astley,51994,19565
Joel Friedrick,83398,18700
Joey Clark,,
Joey Jay,,
Johan Bernhardtson,27567,10557
John Davenhall,34571,18204
John Garnett,32819,5750
John Hartman,29983,6122
John Hurd OR,59357,
John Jack,,
John Krzemien,,
John Ledeman,,
John Lim,1665,20222
John McAllister,16788,
John McConnell,23425,4408
John Nelson,,
John Orrell,62394,
John Overly,38888,
John Robinson WA,21384,708
John Thatsanavongsa,,
John Tierney,,
John Wilson,58988,15235
JohnNils Olson,43175,
Johnny Hill,58686,12073
Johnny Mayer,1704,
Jon Bell,84547,
Jon Burris,,
Jon Erickson WA,127532,41832
Jon Howard,8892,11037
Jon Jacob,44256,7426
Jon Jow,62400,
Jon Salzman,26374,2269
Jon Shaiman,50869,12214
Jon-Kiefer Bowne,142349,
Jonathan Allen,74645,10724
Jonathan Figueroa,85774,26809
Jonathan Hawthorne,24519,5363
Jonathan Illig,51151,26532
Jonathan Lee,,
Jonathan Navarro,,
Jonathan Vermillion,74887,22522
Jonathan Wall,,
Jordan Semrow,28813,976
Jordan Shankle,95245,24219
Jordan West,83070,19264
Jorge Gonzalez,78861,
Jorge Romero,2094,
Joseph Baca,,
Joseph Salender,8251,7035
Josh Anderson WA,66508,
Josh Bellinghausen,47078,6367
Josh Dupraw,,
Josh Free,,
Josh Hornbaker,35492,895
Josh Kramer,,
Josh Macfarlane,,
Josh Neuens,56085,7224
Josh Orion,131366,
Josh Samson,95638,24966
Josh Schaffner,73744,
Josh Swaney,,
Josh Teodoro,69200,9863
Joshua Barnes,27230,
Joshua Bartlett,25521,758
Joshua Chandler,97369,25757
Joshua DeGarmo,41036,
Joshua Francis,30041,3038
Joshua Simon,66141,13985
Josue Mendez,86318,20284
Joy Nash,,
Joy Ross,,32511
JR DeMartino,63515,
Jul Perri,117927,36869
Jules Langdon,78668,
Julia Simpson,,
Julianne Hassman,114577,31487
Julie Gray,1380,529
Justin Ari,,
Justin Blau,18884,2131
Justin Hugeback,21896,531
Justin Kaping,144716,
Justin Kusar,,
Justina Russo,44242,3465
Kadyn Marshall,93362,23626
Kai Ball,,
Kaitlyn Broxson,91963,
Kaitlyn Yamamoto,,
Kali Banks,99310,30905
Kalli Firestine,104189,
Kane MacAniff,8971,14502
Kara Kaye,94651,
Kara Rhett,,
Kareem Williams,86198,20560
Karen Roggenkamp,97077,36887
Karla Rivers,42222,
Karla Salinas,104427,
Kasey Bond,43520,22454
Kat Martinez,132303,
Katherine Chaos MacLeod,,
Kathleen Greenhaw,13963,
Kathleen Rush,95646,
Kathy DeBoer,53657,8131
Katie Adams,43789,37041
Katie Eichenberger,31811,
Katie Janis,25563,15644
Katie Newman,46696,8819
Katja Rodgers,71949,18234
Katie Viray,116980,35920
Katy Keenan,,
Kay Kay,37557,3990
Kayla Ferguson,,
Kayla Greet,16787,361
Keegan Kelly,,
Keenan Goodall,37362,
Keith Michaud,49530,
Keith Wolfe,6411,
Kellan Kirkland,41039,3128
Kellan Smith,13738,4092
Kelli Goins,47287,2516
Kelly Alexander,71318,
Kelly Davis,,
Kelly Percich,83096,21575
Kelly Phair,45882,2518
Kelly Young,66380,
Kelsie Sherman Hall,48487,11634
Ken Connel,73023,11667
Ken Dean,,
Ken Disbennett,86146,18024
Ken Johnson OR,34178,
Ken Martin,12406,5904
Keni Lev,,
Kenna Amen,,
Kenneth Hall,61738,
Kevin Birrell,8891,618
Kevin Coffey,77261,18585
Kevin Coulton,67967,9243
Kevin Delarosa,,
Kevin Deschenes,103922,29150
Kevin Kelly,55578,
Kevin Lessig,609,8186
Kevin Luecke,,
Kevin Ochsner,114579,
Kevin Rayo,,
Kevin Sangston,,
Kevin Shinn,142346,
Kieonna Ford,60912,6790
Kiki V,102910,29590
Kiko Correa,100072,26248
Kimi Bartram,41047,
Kirk Brandvold,71045,
Kirk Nelson,102967,
Kirk Zehrung,58131,
Kirsten Wohlrab,21132,
Kit Neal,,
Kolby Krie,42216,
Kole Sandborg,86754,
Kordell Roberts,,
Korray Overman,,
Kourtne Kaoss,102107,26205
Kourtney Anderson,96503,
Kris Anthony,,
Krisma Miller,98670,
Krissy Tanaka,,
Kristin Vick,79055,18646
Kyel Woodart,,
Kyle Basile,,
Kyle Condell,64149,11582
Kyle Hayden,23435,
Kyle Klages,43731,3914
Kylie Waibel,35662,
L.T. Thompson,,
Lacy Newbold,138988,
Lahna Utterback,,
Landon Cross,83789,19960
Landon Martin WA,45933,10455
Lane Hill,55202,10074
Larry Olson,89001,22299
Lars Rehe,94340,38027
Laura Bodine,42813,6822
Laura Hale,20392,8882
Laura Kirby,117928,
Laurel Brown,,
Lauren Aiello,47061,2574
Lauren Aquino,27227,73
Lauren Johnson,81020,
Lauren Scoville,108760,
Lauren Shepherd,9403,
Lawrence Campbell,52722,
Lawrence Cushman,79070,
Layne Eddy,,
Leah Rue,,
Lee Ford,60260,14335
Leeds Main,,
Lefty Sitaras,26328,
Leif Fleming,,
Lenny Jackson,53107,4252
Leo Gonzalez,58771,
Leonora Choi,,
Leslie J Martin,45514,6004
Leslie Ruckman,47411,4451
Lester Mass,99362,
Levi Dittebrandt,20094,1527
Levi Powell,86552,21829
Lex Albrandt,108542,
Lexi Whittemore,64786,9004
Liberty Ruderman,84449,19269
Lilly Belle,,
Lily Cullee,107807,
Lily Liebich,,
Lina Davidson,56705,
Lina Mooney,65057,11985
Linda Volckening,67984,9459
Lisa Marie,123728,
Lisa Moneypenny,,
Lisa Perkins,54698,
Liz Brotman,101299,27664
Lo Rojas,67072,
Logan Bear,75845,
Logan Manta-Kennedy,46907,43912
Lonnie Carroll,50781,12490
Lonnie Langford,610,3139
Lonut Trestian,,
Lora Keyte,132420,
Loren Martin,92955,24147
Los Rangel,102101,
Louie Hamlett,1646,
Lucas Arias,48190,6827
Lucas Haines,117461,
Lucas Marcolongo,,
Lucas Posey,78039,
Lucy Hoffman,48642,18027
Lui Rangel,102099,38285
Luke Bullert,,
Luke Camarda,19497,25930
Luke West,,
Lyn Cason,47538,
Mack Rote,76421,12653
Mackenzie Meinhordt,53106,
Maddie Bryant,71365,
Maddie Downing,120147,
Madeleine Benz,60796,14138
Madi Duck,,
Madison Masterson,108880,31718
Mae Collin,135518,45593
Maggie Hussey,91186,23028
Maia Williams,,
Maka Honig,3238,1819
Malcolm Roberts,55362,
Man Ray,,
Mandie Moore,38315,
Mandolin Noir,,
Mandy Woodard,85305,19401
Marc Grenley,,
Margo Arana,,
Maria Reidell,70029,13105
Maria Watson,109003,
Mariah Shelley,119110,36897
Marilyn Braighboy,24744,
Marin Alexander,58267,7718
Marisa Figueroa,,
Marisa Fulmer,83098,13618
Marisa McClintock,84081,19059
Marissa Rodriguez,132327,44490
Mark Daddy,63669,10219
Mark Demmel,49098,3482
Mark Falkey,,
Mark Freeman,,
Mark Kushino,109958,
Mark Licastro,,
Mark McClure,27323,6315
Mark Ostler,2610,
Mark Rueter,45913,
Mark Williams WA,17702,
Mark Wistrom,45931,39021
Marquesa Newman,,
Marshall Denton,126137,44491
Martin Rivero,56272,6819
Mary Quinn,,
Masando Jensen,64906,8070
Mason Dunbar,98062,31089
Mat Brundage,35921,1118
Mathew Peterson,15407,7530
Matt Anderson WA,23996,21570
Matt Baca,113968,34006
Matt Banderra,,
Matt Beyer,61152,9649
Matt Bollinger,20059,
Matt Cohn,6823,6818
Matt Damon,,
Matt Detisch,,
Matt Galbraith,8893,797
Matt Golden,23040,3242
Matt Greenfield,,
Matt Grunewald,126328,40683
Matt Hamlin,8136,
Matt Heilman,,
Matt Karvonen,113223,34126
Matt Korsmoe,109114,13413
Matt Lauro,19324,5385
Matt Liskom,39704,26025
Matt Metzger,66552,11278
Matt Phillips,,
Matt Picurro,,
Matt Ramey,109957,32357
Matt Salmon,40843,
Matt Sarnoff,14890,
Matt Slater,40883,12045
Matt St. Hubin,,
